Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,9.3,17.3,84,141
1/5/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,16.3,71,143
1/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,18.5,121,201
1/12/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,15.8,51,112
16/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,13,87,117
19/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,15,89,209
21/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.3,15.3,63,146
23/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,15,88,278
27/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7,14.3,82,413
29/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,12.8,82,561
2/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,17.8,209,543
2/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,8.1,57,107
2/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.5,15.5,76,140
2/10/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.5,13.3,60,147
2/12/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6,13,84,325
16/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,12,118,514
18/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,11.6,87,325
20/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,21.3,132,315
23/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.5,19.8,178,431
26/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.3,24.8,118,684
3/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,12,23.5,83,212
3/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.5,21,83,309
3/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,13.8,73,331
3/9/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.3,12.5,36,129
3/12/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.5,13.3,48,106
16/3/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.3,18,34,141
18/3/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.3,16,44,84
20/3/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.5,18.5,33,112
23/3/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.3,16.8,39,134
26/3/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,16.8,97,215
4/3/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,9.3,22.8,43,74
4/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,10,21,93,179
4/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,8.5,19.5,35,74
4/8/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,19.5,36,61
13/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,19,35,93
16/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.3,14.5,45,73
18/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,11.8,25,55
20/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6,13.5,37,77
24/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,13,38,62
27/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,11.8,27,55
5/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6,16.5,88,132
5/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,14.5,110,156
5/11/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.8,15.8,75,120
14/5/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.5,16.8,62,110
18/5/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,10.8,34,57
21/5/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,10.8,37,57
25/5/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.5,11,25,39
28/5/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4,12,28,37
6/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,14.5,51,76
6/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,16.8,27,49
6/9/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.8,12.4,31,60
6/11/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.3,19,19,31
15/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,14.8,34,52
18/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,19,35,53
22/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.5,12,30,39
24/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,14.5,37,49
7/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,11,35,46
7/3/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4,14.8,38,45
7/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.8,16.5,18,26
7/9/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,14,22,26
13/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4,12.3,34,56
16/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.5,10.6,29,55
21/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.5,7.8,24,56
23/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,9.6,50,65
27/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.5,14,14,53
30/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.5,15.3,128,163
8/3/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.8,13.3,138,161
8/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.5,11,120,134
8/10/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,12.3,143,161
13/8/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.5,9.9,95,153
17/8/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,9.6,99,135
20/8/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,7.3,109,151
24/8/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,11.5,127,178
27/8/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,12.5,42,78
9/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.3,15.5,30,59
9/3/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,12.5,33,77
9/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6,13.8,51,104
9/10/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.8,12.5,23,44
14/9/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,15,71,121
17/9/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7,14.3,51,106
25/9/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7,16.5,27,47
26/9/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.5,16.5,22,46
29/9/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,8.8,17.8,45,92
10/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6,12.8,24,41
10/5/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.3,11.5,18,47
10/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,15.3,33,79
16/10/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,15.5,23,55
17/10/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,12.3,79,108
20/10/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7,14.3,68,97
22/10/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,15.5,53,93
26/10/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7,13.5,77,122
28/10/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.5,13.8,37,61
1/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.8,16.5,172,251
1/6/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.8,13.8,173,248
1/9/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,9,21.3,133,197
13/1/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.8,15.5,217,280
17/1/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,9.5,18.5,173,263
20/1/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7,21.3,137,201
22/1/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.5,17.3,179,216
24/1/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.5,18.8,145,203
28/1/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.5,19,92,150
30/1/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.8,15.8,108,257
2/3/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.3,18,67,148
2/5/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.5,19,204,270
2/11/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.3,14.3,187,268
13/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6,16,148,222
17/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,9.3,13.5,95,368
19/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.8,21,151,314
21/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,9.8,22,294,394
24/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,11,28.3,289,349
27/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,8,17.8,117,297
3/3/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.8,6.6,133,215
3/5/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.5,33.3,176,224
3/7/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,9.3,15.3,106,245
3/10/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.5,18.5,68,101
13/3/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,10.3,19,70,128
17/3/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.8,17.3,80,102
19/3/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,8.3,16.5,33,56
21/3/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.8,17.5,41,67
24/3/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.8,17.5,50,90
27/3/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,8.8,15,39,67
4/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,9.3,19.8,50,102
4/4/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,9,24,39,93
4/7/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,8,23.8,56,132
4/9/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.8,18.5,54,102
15/4/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.5,16.8,45,81
17/4/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.5,13,44,75
21/4/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,8,22.8,70,110
25/4/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.3,13.8,52,130
28/4/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.3,15,110,156
30/4/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.8,14.5,48,73
5/5/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.5,15.3,46,86
5/8/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.5,16,95,146
5/12/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.3,15.5,86,139
15/5/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,14.8,87,144
19/5/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.5,11.8,27,46
22/5/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,3,10,110,147
27/5/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.8,9.9,41,53
30/5/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,15.3,37,49
6/3/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.8,14,29,49
6/5/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.5,14.8,19,35
6/10/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,10.5,19,51
6/12/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.8,12.8,25,41
16/6/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,8,17.8,39,51
19/6/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,8,19.3,42,63
23/6/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,13,29,45
25/6/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6,11.8,32,43
7/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.8,12.3,19,28
7/4/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,14.8,25,30
7/7/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7,15.3,35,49
7/10/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.8,12.5,32,37
14/7/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.3,16,41,58
17/7/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,14.8,28,53
22/7/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.3,14.5,130,171
24/7/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6,14.5,153,191
28/7/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.5,12.8,310,481
31/7/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.3,15.8,490,569
8/4/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,14.3,351,393
8/7/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.5,17.3,343,412
8/11/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,19.3,473,545
14/8/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,10.5,67,99
18/8/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.5,11.8,99,162
21/8/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.8,11,82,132
25/8/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,11.8,106,168
28/8/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.5,14.3,50,82
9/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,12.8,43,73
9/4/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.8,12.5,51,86
9/8/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,15.3,38,74
9/11/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.3,17.5,60,110
15/9/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,8,15.5,51,95
18/9/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.3,15.8,49,94
25/9/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.8,13.5,50,87
26/9/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.5,17.5,27,56
30/9/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.3,15.3,46,88
10/2/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.3,18,106,200
10/6/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,12.9,174,248
10/9/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.3,15.8,94,154
16/10/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,15,21,52
17/10/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6,13.3,50,84
21/10/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6.5,13.5,61,92
23/10/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.8,14.3,49,77
27/10/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6,11.5,55,93
29/10/2009,Assam,Bongaigaon,Campus of Oil India,Residential and others,6,11.5,87,121
1/2/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.8,8.4,53,96
1/6/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.8,9.9,42,61
1/9/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,13.8,34,62
20/1/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.8,14,99,118
23/1/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,11.5,124,139
27/1/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7.3,16,42,70
30/1/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,13,51,85
2/3/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,12,55,91
2/6/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.5,12.3,48,87
2/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,12.1,104,148
13/2/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,15.8,78,152
17/2/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,8.9,62,97
20/2/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.8,13.5,106,194
24/2/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,10.4,24,61
27/2/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7.3,16,32,50
3/3/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,9.8,50,70
3/6/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,14,43,84
3/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.5,14,100,134
13/3/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7.3,19.5,113,155
17/3/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,2.5,13.9,101,149
20/3/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,NA,12.9,78,118
24/3/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,13,38,102
27/3/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,15,43,94
31/3/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,13.3,22,46
4/3/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,10.4,32,96
4/7/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6,13.5,19,40
4/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,13,87,118
14/4/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,10.4,47,81
17/4/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7.3,14.5,41,70
24/4/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,12,41,92
5/1/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.3,13.5,49,80
5/5/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,13,45,77
5/8/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,12.5,21,104
5/12/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.5,13.3,113,156
15/5/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,11.8,60,111
19/5/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,11,32,85
22/5/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,12.5,44,91
26/5/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,14.3,20,47
29/5/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,14.5,11,26
6/2/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.3,13.3,11,14
6/5/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,13.3,11,32
6/9/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,16.8,40,70
6/12/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.5,13,31,60
16/6/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,15,29,54
19/6/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,9.6,42,65
23/6/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,13.3,35,53
26/6/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.3,12.8,25,42
30/6/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,14,35,54
7/3/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.5,13.8,41,56
7/7/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,13.8,30,63
7/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6,16.5,18,50
14/7/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6,14.3,31,63
17/7/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.3,11.3,16,40
21/7/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.8,13.3,26,44
24/7/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,14,29,61
28/7/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,15,40,62
31/7/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,13,39,54
8/4/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,10.1,33,50
8/7/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7.3,11.9,46,112
8/11/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,15.5,29,85
14/8/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,14.5,94,135
18/8/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,12.3,26,48
21/8/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7.3,14,30,56
25/8/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,12.8,17,30
28/8/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,12,18,50
9/1/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,11.3,21,26
9/4/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,14.3,34,60
9/8/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6,12.3,74,109
9/11/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,12.8,30,54
15/9/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.5,12.3,26,60
18/9/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6,11.5,25,64
22/9/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,14.8,26,52
25/9/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6,11.3,31,52
26/9/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,2.5,9.8,40,73
27/9/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,12,35,85
29/9/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.3,13,26,87
10/2/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4.5,9.9,41,108
10/6/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,7.8,17.3,22,105
10/9/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,12.3,25,39
13/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5,11.5,35,61
17/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.2,12.7,28,46
18/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.5,12.2,106,119
20/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.3,11,42,49
23/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,12,27,44
27/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,13.5,25,66
30/10/2009,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.5,14.5,39,78
1/1/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,9.3,19.8,165,213
1/2/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,9.8,16.3,110,175
1/6/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6.3,15,60,117
1/7/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6,13.5,122,214
1/12/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6.5,11,90,113
13/1/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6.5,13,123,161
20/1/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,9,14.8,40,68
21/1/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,14.8,16.3,38,88
27/1/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,9.8,17,73,103
28/1/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4,16.5,81,127
2/2/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,8.5,20.8,102,132
2/3/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,8.8,16.3,122,157
2/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,9.3,16,180,245
2/11/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6,18.3,141,181
17/2/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.8,19.3,73,116
19/2/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.8,16.5,135,729
25/2/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.5,10.6,36,149
26/2/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,8.8,16.5,32,73
3/3/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6.3,16.8,44,94
3/4/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3,16.8,84,129
3/9/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,12,16.8,98,188
3/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,20,32.5,71,158
16/3/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,13.5,23.8,100,258
